Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,INTPTLAT10,INTPTLON10,geo
0.061374006,0.187999958,0.155,0.161373998,0.996000026,0.010000064,81.5304,0.0,0.00125257,7.8418,30.2667,3.8027,0.037000041,7.82711,0.3448,0.580999988,47.8663,37.8018023,-122.4246368,POINT(-122.4246368 37.8018023)
0.061374006,0.187999958,0.155,0.161373998,0.996000026,0.010000064,81.5304,0.0,0.00125257,7.8418,30.2667,3.8027,0.037000041,7.82711,0.3448,0.580999988,47.8663,37.8008602,-122.4244488,POINT(-122.4244488 37.8008602)
0.152141668,0.09995586,0.156373,0.072847864,0.971570653,0.07096857,-7.2048,0.00576534,8.97436E-4,0.0138,5.2034,0.0067,0.064971256,3.73692,0.3448,0.544759281,39.8994,37.8042105,-122.428402,POINT(-122.428402 37.8042105)
0.057516658,0.19751667,0.557799,0.327556339,0.87850698,0.18474196,-7.52577,0.228203,0.00314665,5.1173,22.3352,4.0437,0.12971244,4.54545,4.8488,0.51688442,81.1858,37.8069845,-122.4064576,POINT(-122.4064576 37.8069845)
0.027150003,0.103000547,0.696999,0.378597086,0.862001006,0.170999606,2.20918,0.0,2.00808E-4,6.1773,58.0441,4.1035,0.187000522,36.6636,4.9376,0.635000504,68.4729,37.7908312,-122.4001457,POINT(-122.4001457 37.7908312)
0.086156565,0.266869689,0.40816,0.17155782,0.944383881,0.045298914,-5.6175,0.503456,0.00432662,0.0,29.377,0.0,0.073856925,0.743216,4.8628,0.54161745,69.8791,37.7955964,-122.3992336,POINT(-122.3992336 37.7955964)
0.084039089,0.097000051,0.565,0.326481246,0.783000706,0.085000052,2.04311,0.0,0.0361009,15.677,58.0795,9.961,0.158000076,9.86611,13.468,0.45100034,78.1593,37.7692304,-122.4102397,POINT(-122.4102397 37.7692304)
0.195809804,0.111999888,0.807,0.234189766,0.877999122,0.11999988,99.4749,0.0,0.038724,8.0504,14.1379,4.4009,0.063999936,6.00343,1.6285,0.202999797,49.5861,37.7321238,-122.4336744,POINT(-122.4336744 37.7321238)
0.246477964,0.029775797,0.22186,0.099742931,0.992526102,0.006947695,-6.75712,0.0555552,0.00136021,0.0184,0.0511,0.0114,0.046648733,0.193517,0.3422,0.286840058,34.9527,37.7957667,-122.4610644,POINT(-122.4610644 37.7957667)
0.246477964,0.029775797,0.22186,0.099742931,0.992526102,0.006947695,-6.75712,0.0555552,0.00136021,0.0184,0.0511,0.0114,0.046648733,0.193517,0.3422,0.286840058,34.9527,37.8012788,-122.4626604,POINT(-122.4626604 37.8012788)
